datetime,open,high,low,close,volume
2024-05-03T00:00:00+00:00,5081.3,5140.84,5074.03,5136.15,113172
2024-05-05T00:00:00+00:00,5136.15,5146.47,5136.15,5137.09,2882
2024-05-06T00:00:00+00:00,5137.09,5185.51,5133.09,5183.25,40857
2024-05-07T00:00:00+00:00,5183.25,5204.56,5180.240000000001,5192.93,47638
2024-05-08T00:00:00+00:00,5192.93,5196.68,5167.67,5188.450000000001,47727
2024-05-09T00:00:00+00:00,5188.450000000001,5224.740000000001,5174.200000000001,5222.5,53943
2024-05-10T00:00:00+00:00,5222.5,5242.55,5211.530000000001,5219.14,46852
2024-05-12T00:00:00+00:00,5219.14,5223.34,5219.14,5222.08,1466
2024-05-13T00:00:00+00:00,5222.08,5243.09,5212.39,5223.34,43280
2024-05-14T00:00:00+00:00,5223.34,5253.41,5195.86,5250.039999999999,59822.24573863636
2024-05-15T00:00:00+00:00,5250.039999999999,5317.509999999998,5245.019999999999,5315.759999999998,58041.67932489452
2024-05-16T00:00:00+00:00,5315.759999999998,5327.559999999999,5294.239999999999,5298.8899999999985,53049
2024-05-17T00:00:00+00:00,5298.8899999999985,5308.199999999999,5285.1799999999985,5306.98,44404
2024-05-19T00:00:00+00:00,5306.98,5317.24,5306.98,5316.37,1174
2024-05-20T00:00:00+00:00,5316.37,5330.12,5305.599999999999,5314.33,41730
2024-05-21T00:00:00+00:00,5314.33,5331.0999999999985,5305.37,5330.5999999999985,40137.80036395238
2024-05-22T00:00:00+00:00,5330.5999999999985,5332.839999999998,5291.379999999998,5326.359999999999,75953
2024-05-23T00:00:00+00:00,5326.359999999999,5353.379999999998,5264.549999999998,5279.1399999999985,121926.99883078251
2024-05-24T00:00:00+00:00,5279.1399999999985,5320.199999999999,5276.8899999999985,5305.73,67138
2024-05-26T00:00:00+00:00,5305.73,5310.04,5301.02,5301.79,1348
2024-05-27T00:00:00+00:00,5301.79,5320.59,5298.52,5308.08,16840.88006715796
2024-05-28T00:00:00+00:00,5308.08,5320.33,5278.36,5301.02,72999
2024-05-29T00:00:00+00:00,5301.02,5302.04,5244.62,5248.38,85377
2024-05-30T00:00:00+00:00,5248.38,5258.68,5219.92,5225.02,90954
2024-05-31T00:00:00+00:00,5225.02,5292.28,5187.81,5292.01,116847
2024-06-02T00:00:00+00:00,5292.01,5293.87,5280.11,5292,5255
2024-06-03T00:00:00+00:00,5292,5302.93,5236.66,5287.36,125771
2024-06-04T00:00:00+00:00,5287.36,5303.55,5252.09,5302.29,122225
2024-06-05T00:00:00+00:00,5302.29,5363.97,5296.78,5361.22,79296
2024-06-06T00:00:00+00:00,5361.22,5365.13,5337.25,5356.31,86361
2024-06-07T00:00:00+00:00,5356.31,5377.99,5321.43,5343.2,126478
2024-06-09T00:00:00+00:00,5343.2,5353.63,5341.64,5346.63,2911
2024-06-10T00:00:00+00:00,5346.63,5369.19,5331.87,5360.63,86686
2024-06-11T00:00:00+00:00,5360.63,5381.74,5327.93,5379.23,83721
2024-06-12T00:00:00+00:00,5379.23,5449.28,5375.73,5431.16,135950
2024-06-13T00:00:00+00:00,5431.16,5447.68,5403.46,5432.17,102350
2024-06-14T00:00:00+00:00,5432.17,5437.32,5392.3,5429.92,113841
2024-06-16T00:00:00+00:00,5429.92,5435.82,5428.3,5433.42,2702
2024-06-17T00:00:00+00:00,5433.42,5489.909999999999,5420.869999999999,5481.4,114599.67772215269
2024-06-18T00:00:00+00:00,5481.4,5495.2699999999995,5470.379999999999,5492.959999999998,106272.43456969022
2024-06-19T00:00:00+00:00,5492.959999999998,5497.98,5487.7999999999965,5497.670000000001,20466.19367098652
2024-06-20T00:00:00+00:00,5497.670000000001,5522.329999999998,5462.369999999998,5495.549999999998,221763.19003712013
2024-06-21T00:00:00+00:00,5495.549999999998,5499.549999999998,5468.059999999999,5480.2,110629
2024-06-23T00:00:00+00:00,5480.2,5485.11,5480.2,5482.49,1663
2024-06-24T00:00:00+00:00,5482.49,5503.79,5455.72,5465.49,105556
2024-06-25T00:00:00+00:00,5465.49,5486.56,5457.99,5481.04,77583
2024-06-26T00:00:00+00:00,5481.04,5498.8,5463.34,5472.74,85518.24139988069
2024-06-27T00:00:00+00:00,5472.74,5503.039999999999,5463.48,5502.909999999999,85873
2024-06-28T00:00:00+00:00,5502.909999999999,5533.0999999999985,5459.079999999999,5481.51,108793
2024-06-30T00:00:00+00:00,5481.51,5487.11,5478.35,5479.73,3819
2024-07-01T00:00:00+00:00,5479.73,5491.87,5455.41,5480.49,106042
2024-07-02T00:00:00+00:00,5480.49,5521.509999999999,5454.499999999999,5513.719999999999,85935
2024-07-03T00:00:00+00:00,5513.719999999999,5547.2699999999995,5511.449999999999,5531.73,57725.53178932563
2024-07-04T00:00:00+00:00,5531.73,5541.63,5526.269999999999,5540.359999999999,12333.298106018681
2024-07-05T00:00:00+00:00,5540.359999999999,5578.419999999999,5537.619999999999,5568.9,71566
2024-07-07T00:00:00+00:00,5568.9,5571.86,5564.84,5566.35,1952
2024-07-08T00:00:00+00:00,5566.35,5592.939999999999,5564.59,5592.699999999999,50546
2024-07-09T00:00:00+00:00,5592.699999999999,5600.889999999999,5583.48,5588.8099999999995,52653
2024-07-10T00:00:00+00:00,5588.8099999999995,5644.829999999999,5585.009999999999,5637.979999999999,41085
2024-07-11T00:00:00+00:00,5637.979999999999,5660.940000000001,5583.480000000002,5591.160000000003,123127.42890714719
2024-07-12T00:00:00+00:00,5591.160000000003,5661.710000000002,5576.170000000002,5623.61,97527
2024-07-14T00:00:00+00:00,5623.61,5640.04,5622.92,5629.44,5353
2024-07-15T00:00:00+00:00,5629.44,5675.99,5623.47,5649.31,122392
2024-07-16T00:00:00+00:00,5649.31,5679.649999999997,5631.329999999997,5671.5099999999975,120016
2024-07-17T00:00:00+00:00,5671.5099999999975,5672.779999999997,5590.5099999999975,5609.509999999997,166768
2024-07-18T00:00:00+00:00,5609.509999999997,5624.279999999997,5530.809999999997,5562.55,199251
2024-07-19T00:00:00+00:00,5562.55,5568.32,5504.450000000001,5511.9,187778
2024-07-21T00:00:00+00:00,5511.9,5537.44,5511.9,5535.68,6744
2024-07-22T00:00:00+00:00,5535.68,5579.72,5517.17,5569.499999999999,154512
2024-07-23T00:00:00+00:00,5569.499999999999,5593.789999999999,5538.409999999999,5539.919999999999,135001
2024-07-24T00:00:00+00:00,5539.919999999999,5548.179999999999,5427.599999999999,5451.629999999999,134073
2024-07-25T00:00:00+00:00,5451.629999999999,5500.45,5399.929999999999,5419.36,310058
2024-07-26T00:00:00+00:00,5419.36,5496.169999999999,5418.36,5467.45,238915
2024-07-28T00:00:00+00:00,5467.45,5483.98,5465.73,5481.96,5315
2024-07-29T00:00:00+00:00,5481.96,5503.71,5450.53,5458.42,201678
2024-07-30T00:00:00+00:00,5458.42,5497.49,5402.92,5450.7699999999995,254352
2024-07-31T00:00:00+00:00,5450.7699999999995,5560.21,5445.7699999999995,5557.96,254554
2024-08-01T00:00:00+00:00,5557.96,5571.24,5415.24,5432.84,410283
2024-08-02T00:00:00+00:00,5432.84,5436.099999999999,5303.63,5335.72,533594
2024-08-04T00:00:00+00:00,5335.72,5335.72,5287.91,5298.92,25226
2024-08-05T00:00:00+00:00,5298.92,5299.66,5095.16,5250.79,915379
2024-08-06T00:00:00+00:00,5250.79,5318.73,5198.73,5220.41,540355
2024-08-07T00:00:00+00:00,5220.41,5336.21,5159.95,5180.08,462208
2024-08-08T00:00:00+00:00,5180.08,5339.83,5176.44,5334.82,380689
2024-08-09T00:00:00+00:00,5334.82,5362.63,5296.82,5341.7,319192
